date,y_true,y_pred,y_prob
2005-12-31,1,1,0.6411634587956504
2006-03-31,0,1,0.500568242094099
2006-06-30,0,0,0.4742732353433993
2006-09-30,1,1,0.5049217957690176
2006-12-31,0,0,0.18523559493980538
2007-03-31,1,1,0.5551193978936012
2007-06-30,1,0,0.3444411284060981
2007-09-30,1,0,0.46193294728686946
2007-12-31,0,0,0.4226147552163891
2008-03-31,1,0,0.4837585009705907
2008-06-30,0,0,0.38833406984941743
2008-09-30,0,0,0.49226549667428576
2008-12-31,0,1,0.5747677780701221
2009-03-31,1,0,0.42823287998310644
2009-06-30,1,1,0.8277470028087678
2009-09-30,1,0,0.4890492243094963
2009-12-31,0,1,0.6989726474825066
2010-03-31,1,0,0.16227077810044782
2010-06-30,1,1,0.5096327956028075
2010-09-30,0,1,0.7528109646041791
2010-12-31,0,1,0.6624694430092631
2011-03-31,1,0,0.11170511426291531
2011-06-30,0,1,0.522660509868738
2011-09-30,1,0,0.35313987991571155
2011-12-31,1,0,0.2832123562350135
2012-03-31,0,0,0.4107461941462788
2012-06-30,0,1,0.5519413356784578
2012-09-30,0,0,0.23963198985356124
2012-12-31,1,0,0.21159124227620588
2013-03-31,0,1,0.6466460702346992
2013-06-30,1,0,0.18575304834454187
2013-09-30,1,0,0.28110769355999077
2013-12-31,0,0,0.37446523741412274
2014-03-31,1,0,0.32865069417364845
2014-06-30,1,1,0.6321185209908294
2014-09-30,0,0,0.39362544066083827
2014-12-31,1,0,0.31280023502236254
2015-03-31,0,1,0.616535153798327
2015-06-30,0,1,0.5584605941125573
2015-09-30,0,0,0.39897578391988686
2015-12-31,1,0,0.28942380553353014
2016-03-31,0,0,0.4350274125859248
2016-06-30,1,1,0.5407069847766389
2016-09-30,0,1,0.6168355854960925
2016-12-31,0,0,0.37248628863290995
2017-03-31,0,0,0.38719687666871916
2017-06-30,0,0,0.3151511968364431
2017-09-30,1,1,0.6480004265463261
2017-12-31,0,0,0.3290765583209087
2018-03-31,0,0,0.31394441165863807
2018-06-30,0,0,0.3176882844585091
2018-09-30,0,0,0.2554859265822235
2018-12-31,0,0,0.44005994747354926
2019-03-31,1,1,0.5626731713729283
2019-06-30,1,0,0.25401963180808157
2019-09-30,1,0,0.40445104207750143
2019-12-31,0,0,0.4738260512683956
2020-03-31,0,0,0.32753117673956517
2020-06-30,1,0,0.4826429285808691
2020-09-30,0,1,0.8677490754274431
2020-12-31,0,0,0.26285311020608537
2021-03-31,1,0,0.18156061506148727
2021-06-30,0,0,0.31976880890133585
2021-09-30,1,0,0.2200316393325522
2021-12-31,0,1,0.6486440823672518
2022-03-31,0,0,0.3528657711027663
2022-06-30,1,0,0.21739449883526266
2022-09-30,0,0,0.4663848478611055
2022-12-31,0,1,0.6742498067315146
2023-03-31,0,0,0.4645756949920643
2023-06-30,1,1,0.5521988798365731
2023-09-30,1,1,0.6825560192734969
2023-12-31,0,1,0.578825897172416
2024-03-31,1,0,0.45846890764192477
2024-06-30,1,1,0.5681951043437381
2024-09-30,0,0,0.4864266475035419
2024-12-31,0,0,0.36837129301541155
2025-03-31,1,0,0.3535051442018012
2025-06-30,1,1,0.6578438697670482
2025-09-30,0,0,0.40610020408722863
2025-12-31,0,0,0.3959480843570904
